Time,Frame,WT,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12
100,50000,9.2319,11.1353,10.959,3.8051,7.9901,7.2853,5.4391,7.5089,7.6906,7.9588,11.9182,3.5281,3.597
100.002,50001,9.0696,11.6389,10.6618,3.5241,7.7095,8.0708,5.7321,7.3101,7.8543,7.4728,12.1146,3.509,3.8866
100.004,50002,8.7507,11.1515,10.3205,3.7324,8.0342,8.6697,5.6858,6.9926,8.3724,7.9336,10.98,3.6885,3.5113
100.006,50003,8.5198,11.406,10.3546,4.0937,7.6502,8.0073,5.3427,7.5601,7.6677,7.8619,11.2372,3.5238,3.5894
100.008,50004,9.0669,11.3135,10.8179,3.6804,7.9645,7.4114,5.7012,6.8667,8.1775,7.9838,11.0911,3.4823,3.3922
100.01,50005,8.9273,11.3549,10.61,3.9013,7.7101,7.9515,5.1782,7.379,8.7732,7.7931,11.3058,3.3258,4.147
100.012,50006,9.2368,11.5409,10.7355,4.2511,7.4812,8.0453,5.8782,7.2084,8.7883,7.7933,11.4495,3.6616,3.2536
100.014,50007,8.6071,11.1545,10.1327,4.3706,7.1695,8.1294,5.8288,7.1637,8.7444,7.5096,10.9496,3.8798,4.1305
100.016,50008,8.7297,11.2402,10.2932,4.0407,8.3114,7.5246,5.6954,6.5363,9.9816,7.2047,10.5322,3.6567,4.2045
100.018,50009,9.0098,11.1605,10.5509,3.6455,7.5656,7.7124,5.518,6.4927,9.3215,7.1844,10.9891,3.5617,3.6413
100.02,50010,8.9158,11.5281,9.9773,3.7127,7.8126,7.6763,6.0758,7.0887,8.6924,7.3071,11.1022,3.4804,4.2993
100.022,50011,7.8937,11.5107,10.6534,3.4852,7.6882,6.8886,6.0811,6.686,9.7962,7.6699,11.1817,3.6848,4.2105
100.024,50012,8.5372,10.9933,11.0359,3.6787,7.5416,7.6332,6.9855,7.4313,9.1653,7.455,11.1999,3.5847,4.6128
100.026,50013,9.0173,11.633,11.0596,4.1906,7.734,8.5176,6.0426,7.2545,8.3855,7.3862,11.2968,3.8209,3.8499
100.028,50014,8.7334,11.0881,10.7788,3.7666,7.8139,6.8562,6.5267,6.4184,8.9086,7.9705,11.369,3.7763,4.3705
